,Negative_reviews
174,"i ve been happy for years with this app but lately when i push publish now it tells me scheduled i have no control about when i want to publish sometimes it gets published within 24 hrs sometimes doesnt get published at all this is bad meanwhile staff got in contact with me and helped me fix the problem above thanks a lot i just had another issue lately uploading pictures it seems i could not upload as many as i wanted between 5 and 10i had this the two last posts i sent :  
"
175,"my english teachers often lowered my grades for largely mechanical errors also wordy was frequently a snarky margin comment nobody had much interest in the content but a runon sentence fragment or omg no end punctuation instant f on wordpress a lot of these vexing problems are addressed on autopilot and a writer can be as wordy as they want even if their subjects and verbs argue and never agree authors wait for a block of time and inspiration writers write everyday :  
"
176,"confused app sometimes it misbehaves you might include an image on the work then it doesnt feature in the link hope the update will have fixed that :  
"
177,"the app is nearly unuseable i write and inputs take ages to apply then the app sometimes crashes and i tell it to wait it out it usually catches up but nearly a minute later horrible experience i guess im sticking with my web browser or perhaps finding a third party app if any exist :  
"
178,"nothing works anymore posts dont update stats even the apparent external website fails to be recognised this used to be a much better app for being able to blog its now useless and cant be used you have to use desktop for everything to work the way you want it to disappointing :  
"
179,"love love love wordpress       :  
"
180,"overall the functionality seems good however theres no sharing section in the android app like in ios i have to go to mobile web to update thats kind of pointless i dont want to write in to development inside the app forward this to them geez thats not what im talking about and its not in the app not sharing posting it twitter linkedin with checkbox and default if title look at apple app this option isnt available i cant give you screenshot because its only on ios  :  
"
181,"great free app for someone who just wants to solidify certain events in their life i havent paid for it since i am a bit broke at the moment fulltime student and a veteran but if and when i am able to i may buy it on the other hand why would i buy it i am not promoting anything just writing my thoughts down :  
"
182,"very poor useless application wanted to quickly start local blog about photography walking local history and anything welsh application so far has been an ergonomic disaster area upload photo dissappears publish blog and says it is private confusing pages of useless information things need to be sensible simple and actually work looking now for alternative option without having to resort to diy html alternative albeit think that option even with ftp etc will in long term be simplier :  
"
183,"im not sure if i understand how this operates but i own a domain name and have a hosting for a website i had thought i could use wp to design and publish now all i am informed when i type in my website is that it is not on wp its all confusing especially on mobile is there something i dont know about :  
"
184,"everything you need to do at your fingertips instantly just by working on the app the android version doesnt allow you to do everything from the app but it does give you the admin option to design and customize from the desktop on through your chrome browser i would definitely recommend wordpress :  
"
185,"on android app widgets dont work if you wanted to see stats of visit :  
"
186,"as i have a wordpress blog i have to use this app it goes black it freezes up for as long as 30 minutes i have to install it and reinstall it again updated 2222020 the only way this app works well is to uninstall then install it again on a regular basis :  
"
187,"this latest version no longer lets me share an article from a web browser into a new post it always gives me a blank post where before it set the post title to the article title and placed a link to the article in the body of the post this app is pretty useless to me until its fixed :  
"
188,"i enjoy using this app and wordpress itself as the online computer version regarding the app i am missing the option to post several pictures as a mosaik instead each pic under the next in full size regarding wordpress in general i find the set up rather difficult i had to have my brother help me to set up my blog efficiently :  
"
189,"horribly optimized i cant even see let alone edit anything beyond plain text if your site has any multimedia content whatsoever this app will be useless to you :  
"
190,"my hosting provider blocked my ip as using this app looks like an attack :  
"
191,"hi wordpress team any chance wordpress app will get a dark mode at some point so much better on battery edit 5 to 1 stars like others said below used to work fine now in keeps crashing completely unusable edit 1 to 5 stars for me the crashing problem caused by updates was solved by uninstalling and reinstalling :  
"
192,"works but its frustrating confusing to all hell what is the point of this app when at the end of the day ill be sent to the website to customise anything i cant access all options on the app absolutely useless app for doing anything with options :  
"
193,"very slow on basic smart phones :  
"
194,"good except thwme keeps changing html rules :  
"
195,"im sure this app has no relationship at all with wordpress ive tried for several days to write and publish a post but it couldnt get publish and cant even load my webpage this app is not for wordpress web owners thank you :  
"
